spec,op_name,task_count_total,warmup_dropped,task_count_hot,p50_us,p95_us,mean_us,population_std_us,population_cv,min_us,max_us,block_dim,block_dim_set,aiv_mte2_ratio_median,aiv_vec_ratio_median,aiv_scalar_ratio_median,aiv_mte3_ratio_median,acc,op_summary_csv
f16_same_big,Greater,1050,150,900,308.6725,309.852,308.64483888888884,0.785446088141346,0.0025448217147220923,305.973,310.732,40,[40],0.992,0.171,0.24,0.518,PASS,specs/f16_same_big/profile/PROF_000001_20260901000930357_CJRQNQQJRNJLKQDC/mindstudio_profiler_output/op_summary_20260901000949.csv
f16_same_med,Greater,1050,150,900,33.082,33.661,33.11347888888889,0.3179317547295836,0.009601279158749596,32.241,34.461,20,[20],0.92,0.312,0.468,0.252,PASS,specs/f16_same_med/profile/PROF_000001_20260901000957491_FQNADHJOHMDBIMCC/mindstudio_profiler_output/op_summary_20260901001013.csv
f16_same_sml,Greater,1050,150,900,2.88,3.12,2.8997055555555558,0.12205798700354692,0.042093234869897606,2.64,3.5,8,[8],0.279,0.096,0.915,0.068,PASS,specs/f16_same_sml/profile/PROF_000001_20260901001021396_GMGBRLAHQEJHNAIA/mindstudio_profiler_output/op_summary_20260901001036.csv
f16_same_12m,Greater,1050,150,900,64.323,65.224,64.37396666666666,0.5681826672236079,0.008826280197485752,62.963,67.283,20,[20],0.956,0.322,0.461,0.248,PASS,specs/f16_same_12m/profile/PROF_000001_20260901001044551_GGGJRJRFGFRINDBC/mindstudio_profiler_output/op_summary_20260901001100.csv
f16_same_14m,Greater,1050,150,900,77.903,78.843,77.94024888888889,0.5374793972784125,0.006896044148442991,76.463,80.263,40,[40],0.965,0.153,0.232,0.6395,PASS,specs/f16_same_14m/profile/PROF_000001_20260901001108337_GHKBMFMPEGEPEGMA/mindstudio_profiler_output/op_summary_20260901001124.csv
f16_bouter,Greater,1050,150,900,52.382,53.504,52.37629444444445,0.7128351741634887,0.013609881755182074,50.442,54.742,40,[40],0.655,0.589,0.626,0.154,PASS,specs/f16_bouter/profile/PROF_000001_20260901001131581_ECEREMEMFMLDNPIC/mindstudio_profiler_output/op_summary_20260901001148.csv
f16_bouter_big,Greater,1050,150,900,195.348,197.33100000000002,195.3817388888889,1.1200232009694602,0.005732486604627893,192.467,199.588,40,[40],0.676,0.611,0.618,0.158,PASS,specs/f16_bouter_big/profile/PROF_000001_20260901001155380_FECDMGOOCLGMCIAC/mindstudio_profiler_output/op_summary_20260901001213.csv
f16_binner,Greater,1050,150,900,52.542,53.82395,52.55630333333334,0.7343838431637777,0.013973278114825129,50.722,54.862,40,[40],0.658,0.554,0.666,0.155,PASS,specs/f16_binner/profile/PROF_000001_20260901001220464_IEMQPIIHBNOABDJC/mindstudio_profiler_output/op_summary_20260901001235.csv
f16_bboth,Greater,1050,150,900,53.792500000000004,55.162,53.779740000000004,0.8638260943551598,0.016062295845148372,51.442,56.283,40,[40],0.667,0.534,0.752,0.151,PASS,specs/f16_bboth/profile/PROF_000001_20260901001242757_DLRNPGRBKGGDDHEA/mindstudio_profiler_output/op_summary_20260901001259.csv
f16_3d_bouter,Greater,1050,150,900,93.404,94.424,93.42948333333334,0.5828807622966771,0.006238724024803845,91.864,95.044,40,[40],0.941,0.345,0.34,0.4585,PASS,specs/f16_3d_bouter/profile/PROF_000001_20260901001306532_RBRDEIHHBKEQIIAC/mindstudio_profiler_output/op_summary_20260901001322.csv
f16_5d_bcast,Greater,1050,150,900,4.7605,5.0809999999999995,4.768456666666666,0.19696070479497513,0.04130491657223304,4.3,5.5,20,[20],0.335,0.167,0.71,0.08,PASS,specs/f16_5d_bcast/profile/PROF_000001_20260901001329738_RHKJAHEHNEKEDIMB/mindstudio_profiler_output/op_summary_20260901001345.csv
f16_tail_same,Greater,1050,150,900,43.902,44.742,43.98757777777778,0.4991400377488773,0.011347295372127524,43.021,46.862,20,[20],0.945,0.3135,0.463,0.215,PASS,specs/f16_tail_same/profile/PROF_000001_20260901001353056_AQFLHRADPFHKNCIC/mindstudio_profiler_output/op_summary_20260901001408.csv
f16_tail_bouter,Greater,1050,150,900,34.582,35.962,34.661391111111115,0.6991789584369567,0.020171693519041325,32.801,37.982,40,[40],0.622,0.291,0.301,0.419,PASS,specs/f16_tail_bouter/profile/PROF_000001_20260901001415742_EGRCCHQPLNHGDEMB/mindstudio_profiler_output/op_summary_20260901001431.csv
